16-Jan-2013 :  5, 'Craig Connolly' 'works perfectly!' 'I find iv'e no problems what so ever with the app.'
09-Jan-2013 :  3, 'Jammy Glen' 'Choppy' 'Sometimes it says I have a new email but doesn't show even after logging out many times.'
13-Dec-2012 :  1, 'Cork2010' 'Useless' 'App doesn't seem to refresh external mail as can be done on web version. Renders the app useless to anyone using yahoo mail with external email account'
11-Jan-2013 :  3, 'ian_motoscrapz01' 'should able to add another yahoo account' 'the apps are nice, i think they should have allow 2 or more yahoo account in one apps, thats really nice...'
12-Dec-2012 :  5, 'Roisin4' 'Mrs' 'Great app. Easy to get around, attractive design'
12-Dec-2012 :  1, 'Mongobaer' 'Why?' 'The iPhone would have a brilliant and clean mail app. Why should I want to use an app with ads and a bad user experience instead? And why did this app get directly 5 times 5 stars? Hmm 🙊'
31-Jan-2013 :  1, 'Muttley1972' 'Mail app for iOS' 'Very handy when it works, but it freeze's up every time you open the menu tab, only solution is to delete app and reinstall.'
12-Dec-2012 :  5, 'audrey clarke' 'Hurrah' 'Love it'
11-Feb-2013 :  1, 'Dave Byrne 1976' 'Rubbish' 'If there was a minus 5 stars that's how bad I would rate this'
12-Dec-2012 :  5, 'BTY28' 'Super' 'At last! This app has saved me time and made tapping easier'
26-Dec-2012 :  2, 'Evil_Teddy_Bear' 'Crashing after some use, but has potential' 'This app worked quite well initially. It has a very nice interface and integrates seamlessly with yahoo webmail, without the annoyances of marking emails as read etc that comes with the native app. After a few weeks use, it is constantly crashing, which I presume is a memory issue. Needs a fix to continue using it. (3GS IOS 6.0.1).'
04-Feb-2013 :  5, 'Adamforkin' 'Adam' 'It's works brilliantly and is good'
06-Feb-2013 :  5, 'Soso#1' 'Love it!!!' 'Great app! It's classy looking, it is easy to get to different folders and it is purple!!!! Great job!'
Otherwise very good! 4 out of 5'
05-Jan-2013 :  2, 'latchico' 'Nice app but....' 'Regular and ongoing issues with crashing and app stability... I think Ill come back when bugs have been fixes.'
05-Feb-2013 :  5, 'pepestef' 'Well done' 'Finally .. It's an amazing app'
11-Dec-2012 :  5, 'Sztraik' 'Brilliant!' 'Finally a great app to manage Yahoo! Email and replace the native app.'
11-Dec-2012 :  5, 'Esprit101' 'Excellent app's' 'Great to use! I like'
13-Dec-2012 :  5, 'dkenny' 'Wow! Really tidy mail app!!' 'Quite a surprise from Yahoo, who seem to have ignored the iOS for quite a while. This is a super clean, fast and easy to use application, and I think one of the better third party web mail apps out there for iPhone.'
18-Dec-2012 :  1, 'Bradydman29' 'Not bad' 'Not to bad at all pointless haven a mail app on the phone now with this'
